date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:09	92/92	---M-Z	200	added ('OK')	text/plain	etag:%2274-5b9f3da4ccd37-gzip%22	https://harrisoncarloss.com/robots.txt		(from )
00:28:09	141729/141729	---M-Z	200	added ('OK')	text/html	etag:%22627b-5dda750831e82%22	https://harrisoncarloss.com/	C:/My%20Web%20Sites/4/harrisoncarloss.com/index.html	(from )
00:28:10	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Apr%202022%2018:58:10%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/4/www.google.com/recaptcha/api.js	(from https://harrisoncarloss.com/)
00:28:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2027%20Apr%202022%2018:58:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/4/www.googletagmanager.com/gtm.15445.delayed	(from https://harrisoncarloss.com/)
00:28:12	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/4/code.jquery.com/jquery-3.4.1.min.js	(from https://harrisoncarloss.com/)
00:28:12	46591/46591	---MCZ	200	added ('OK')	text/css	etag:%22b5ff-0F/4FpJQwmJHLLanIfChyMbDVpI%22	https://unpkg.com/ionicons@4.4.7/dist/css/ionicons.min.css	C:/My%20Web%20Sites/4/unpkg.com/ionicons@4.4.7/dist/css/ionicons.min.css	(from https://harrisoncarloss.com/)
00:28:12	1771/1771	---M-Z	200	added ('OK')	text/css	etag:%226eb-5dbf7aa1d3840-gzip%22	https://harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/css/slick.css	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/css/slick.css	(from https://harrisoncarloss.com/)
00:28:13	1448/1448	---M-Z	200	added ('OK')	text/css	etag:%225a8-5dbf7aa1d3840-gzip%22	https://harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/icheck/square.css	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/icheck/square.css	(from https://harrisoncarloss.com/)
00:28:13	57/57	---MCZ	302	error ('Found')	text/plain	date:Wed,%2027%20Apr%202022%2018:58:13%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.css	C:/My%20Web%20Sites/4/unpkg.com/swiper@7/swiper-bundle.min.css	(from https://harrisoncarloss.com/)
00:28:13	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%223ccb-5Koe10fACH1gYqRziowpfORPwas%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/My%20Web%20Sites/4/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://harrisoncarloss.com/)
00:28:13	56/56	---MCZ	302	error ('Found')	text/plain	date:Wed,%2027%20Apr%202022%2018:58:14%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.js	C:/My%20Web%20Sites/4/unpkg.com/swiper@7/swiper-bundle.min.js	(from https://harrisoncarloss.com/)
00:28:13	135912/135912	---MCZ	200	added ('OK')	application/javascript	etag:%22212e8-+9I9CUbhY1/BprAUcnI5oGYQ/d0%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.js	C:/My%20Web%20Sites/4/unpkg.com/swiper@7.4.1/swiper-bundle.min.js	(from https://harrisoncarloss.com/)
00:28:14	7648/7648	---M-Z	200	added ('OK')	application/javascript	etag:W/%221de0-UIAA/uYa9lVGoI0bAGaN5RkevyY%22	https://cdn.jsdelivr.net/npm/canvas-confetti@1.5.1/dist/confetti.browser.min.js	C:/My%20Web%20Sites/4/cdn.jsdelivr.net/npm/canvas-confetti@1.5.1/dist/confetti.browser.min.js	(from https://harrisoncarloss.com/)
00:28:14	223861/223861	---M-Z	200	added ('OK')	text/css	etag:%2236a75-5dbf7aa880800-gzip%22	https://harrisoncarloss.com/wp-content/themes/harrisoncarloss/style.css?ver=1649231648	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/themes/harrisoncarloss/stylec273.css	(from https://harrisoncarloss.com/)
00:28:15	24505/24505	---M-Z	200	added ('OK')	text/css	etag:%225fb9-5dd29bb1f484a-gzip%22	https://harrisoncarloss.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.5	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/plugins/instagram-feed/css/sbi-styles.min52c7.css	(from https://harrisoncarloss.com/)
00:28:15	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-5dbf4966bb54d-gzip%22	https://harrisoncarloss.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-includes/css/dist/block-library/style.min7404.css	(from https://harrisoncarloss.com/)
00:28:16	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5d9f34be2fa40-gzip%22	https://harrisoncarloss.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://harrisoncarloss.com/)
00:28:16	3106/3106	---M-Z	200	added ('OK')	text/css	etag:%22c22-5d9f34c017ec0-gzip%22	https://harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.1.1	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-publice1fc.css	(from https://harrisoncarloss.com/)
00:28:16	27249/27249	---M-Z	200	added ('OK')	text/css	etag:%226a71-5d9f34c017ec0-gzip%22	https://harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.1.1	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpre1fc.css	(from https://harrisoncarloss.com/)
00:28:17	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-5c7a2f0e3d188-gzip%22	https://harrisoncarloss.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://harrisoncarloss.com/)
00:28:17	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-5b631221577aa-gzip%22	https://harrisoncarloss.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://harrisoncarloss.com/)
00:28:17	7032/7032	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b78-5dbf7aa1d3840-gzip%22	https://harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/js/rellax.min.js?ver=1	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/js/rellax.min68b3.js	(from https://harrisoncarloss.com/)
00:28:17	253669/253669	---MCZ	200	added ('OK')	application/x-javascript	etag:%223dee5-5dbf7aa1d3840-gzip%22	https://harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/js/jquery-ui.min.js?ver=1	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/themes/harrisoncarloss/assets/js/jquery-ui.min68b3.js	(from https://harrisoncarloss.com/)
00:28:17	35069/35069	---M-Z	200	added ('OK')	application/x-javascript	etag:%2288fd-5d9f34c017ec0-gzip%22	https://harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/js/cookie-law-info-public.js?ver=2.1.1	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-content/plugins/cookie-law-info/public/js/cookie-law-info-publice1fc.js	(from https://harrisoncarloss.com/)
00:28:18	8451/8451	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Apr%202022%2018:58:18%20GMT	https://harrisoncarloss.com/wp-json/wp/v2/pages/7	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-json/wp/v2/pages/7.json	(from https://harrisoncarloss.com/)
00:28:18	172724/172724	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Apr%202022%2018:58:18%20GMT	https://harrisoncarloss.com/wp-json/	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-json/index.html	(from https://harrisoncarloss.com/)
00:28:19	828/828	---MCZ	200	added ('OK')	text/xml	date:Wed,%2027%20Apr%202022%2018:58:19%20GMT	https://harrisoncarloss.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/4/harrisoncarloss.com/xmlrpc0db0.php	(from https://harrisoncarloss.com/)
00:28:20	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	https://harrisoncarloss.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/4/harrisoncarloss.com/wp-includes/wlwmanifest.xml	(from https://harrisoncarloss.com/)
